id,strategy,symbol,side,entryPrice,stopLoss,takeProfit1,takeProfit2,leverage,timestamp,metadata,createdAt,score,status
674,SimpleTrueOB,LYNUSDT,LONG,0.14258351,0.14047110,0.14511840,0.15103316,15,2026-01-10 10:40:00,"{""obTop"": 0.14322, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.14189, ""atrPercent"": 0.8560946215376033, ""positionSize"": 105201.50538304531, ""positionValue"": 15000}",2026-01-10 10:45:00.428969,80.00,PENDING
675,SimpleTrueOB,GRASSUSDT,LONG,0.36552309,0.36036000,0.37171880,0.38617545,15,2026-01-10 10:45:00,"{""obTop"": 0.3669, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.364, ""atrPercent"": 0.5477305181642408, ""positionSize"": 41037.079217074905, ""positionValue"": 15000}",2026-01-10 10:50:00.193713,80.00,PENDING
676,SimpleTrueOB,MANAUSDT,LONG,0.14497899,0.14325300,0.14705018,0.15188295,15,2026-01-10 10:45:00,"{""obTop"": 0.1452, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.1447, ""atrPercent"": 0.3511135751532435, ""positionSize"": 103463.26733273559, ""positionValue"": 15000}",2026-01-10 10:50:00.3039,80.00,PENDING
677,SimpleTrueOB,OGUSDT,LONG,4.29835950,4.24512000,4.36224690,4.51131750,15,2026-01-10 10:45:00,"{""obTop"": 4.307, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 4.288, ""atrPercent"": 0.3834053408653282, ""positionSize"": 3489.7034554694646, ""positionValue"": 15000}",2026-01-10 10:50:00.355262,80.00,PENDING
678,SimpleTrueOB,MUBARAKUSDT,LONG,0.02024905,0.02000790,0.02053843,0.02121364,15,2026-01-10 10:45:00,"{""obTop"": 0.02028, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.02021, ""atrPercent"": 0.4836661566586291, ""positionSize"": 740775.5297545085, ""positionValue"": 15000}",2026-01-10 10:50:00.51568,80.00,PENDING
680,SimpleTrueOB,MYXUSDT,SHORT,4.92501480,4.99142000,4.84532856,4.65939400,15,2026-01-10 10:55:00,"{""obTop"": 4.942, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 4.91, ""atrPercent"": 0.5942832077937262, ""positionSize"": 3045.676126699152, ""positionValue"": 15000}",2026-01-10 11:00:00.315688,80.00,PENDING
681,SimpleTrueOB,ATOMUSDT,LONG,2.59251840,2.56014000,2.63137248,2.72203200,15,2026-01-10 10:55:00,"{""obTop"": 2.598, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 2.586, ""atrPercent"": 0.45509686178937375, ""positionSize"": 5785.8798610648255, ""positionValue"": 15000}",2026-01-10 11:00:00.332588,80.00,PENDING
687,SimpleTrueOB,WETUSDT,SHORT,0.15740851,0.15949920,0.15489969,0.14904576,15,2026-01-10 11:05:00,"{""obTop"": 0.15792, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.15696, ""atrPercent"": 0.42606487348927424, ""positionSize"": 95293.44893368917, ""positionValue"": 15000}",2026-01-10 11:10:00.185702,80.00,PENDING
688,SimpleTrueOB,BUSDT,SHORT,0.19586082,0.19846500,0.19273580,0.18544410,15,2026-01-10 11:05:00,"{""obTop"": 0.1965, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.1953, ""atrPercent"": 0.4809705373801486, ""positionSize"": 76584.99540643198, ""positionValue"": 15000}",2026-01-10 11:10:01.011217,80.00,PENDING
689,SimpleTrueOB,币安人生USDT,LONG,0.14455391,0.14202540,0.14758811,0.15466793,15,2026-01-10 11:10:00,"{""obTop"": 0.14559, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.14346, ""atrPercent"": 0.9822883018267612, ""positionSize"": 103767.51842158812, ""positionValue"": 15000}",2026-01-10 11:15:00.010093,80.00,PENDING
